X,Y,Z,formation
589648.9886869041,7013130.315843881,930.3871295205968,sill_diabasio
589695.3182420043,7013148.982576491,930.497900761153,sill_diabasio
589742.7193047537,7013165.171387904,930.6443782531468,sill_diabasio
589790.1203675031,7013181.360199317,929.084145693557,sill_diabasio
589837.5214302526,7013197.54901073,927.1869108267005,sill_diabasio
589884.922493002,7013213.737822143,926.4966631610883,sill_diabasio
589932.3235557514,7013229.926633556,928.6099558328632,sill_diabasio
589979.7246185008,7013246.11544497,935.988909973134,sill_diabasio
590027.1256812502,7013262.304256383,945.7861923574836,sill_diabasio
590074.5267439997,7013278.493067796,954.7635706103052,sill_diabasio
590121.9278067491,7013294.681879209,960.6389622239416,sill_diabasio
590171.1049153801,7013299.931001143,964.059926232204,sill_diabasio
590221.1929142213,7013299.569425656,965.5700134681406,sill_diabasio
590271.2809130624,7013299.207850168,968.7932906790198,sill_diabasio
590321.3689119036,7013298.84627468,970.4947817036996,sill_diabasio
590371.4569107447,7013298.484699193,971.6415258689614,sill_diabasio
590421.5449095858,7013298.123123706,972.3810270535488,sill_diabasio
590471.6329084269,7013297.761548218,973.394450626752,sill_diabasio
590521.7209072681,7013297.399972731,974.2506502611512,sill_diabasio
590571.8089061092,7013297.038397244,975.379547687448,sill_diabasio
590621.8969049504,7013296.676821756,976.2960666429832,sill_diabasio
590667.6123296685,7013279.035664593,976.4097816201448,sill_diabasio
590711.8437114635,7013255.529851923,976.4547789150142,sill_diabasio
590756.0750932585,7013232.024039254,980.2315164272582,sill_diabasio
590800.3064750535,7013208.518226584,983.8195070725808,sill_diabasio
590844.5378568486,7013185.012413915,984.0327347211678,sill_diabasio
